id,maingroup,hearing,aoasl,age,direction,aoi,percent
25,DeafEarly,Deaf,1,30,reversed,neck,0.211609498680739
26,DeafEarly,Deaf,1,37,forward,neck,0.021341224661907757
26,DeafEarly,Deaf,1,37,reversed,neck,0.004711560301333949
28,HearingLate,Hearing,12,22,forward,neck,0.0120378891325853
28,HearingLate,Hearing,12,22,reversed,neck,0.0019500133936753664
29,HearingLate,Hearing,13,23,forward,neck,0.020851220128096246
29,HearingLate,Hearing,13,23,reversed,neck,0.0641327733997411
30,HearingLate,Hearing,14,29,forward,neck,0.00769442154438032
30,HearingLate,Hearing,14,29,reversed,neck,0.060422168522662245
31,HearingLate,Hearing,15,32,forward,neck,0.0241891148982958
31,HearingLate,Hearing,15,32,reversed,neck,0.03522231638660655
32,HearingLate,Hearing,15,18,forward,neck,0.08570559397194251
32,HearingLate,Hearing,15,18,reversed,neck,0.315600882028666
33,HearingLate,Hearing,18,29,forward,neck,0.19985521962405695
33,HearingLate,Hearing,18,29,reversed,neck,0.09243330179350409
34,HearingLate,Hearing,18,30,forward,neck,0.1219989454566756
34,HearingLate,Hearing,18,30,reversed,neck,0.0907496944901971
35,HearingLate,Hearing,19,39,forward,neck,0.003515037834611108
35,HearingLate,Hearing,19,39,reversed,neck,0.0016917561196416384
36,HearingLate,Hearing,19,26,forward,neck,0.007825486951469082
36,HearingLate,Hearing,19,26,reversed,neck,0.018477692106437647
37,HearingLate,Hearing,20,38,forward,neck,0.02848101265822785
37,HearingLate,Hearing,20,38,reversed,neck,0.07593391131657715
38,HearingLate,Hearing,22,28,forward,neck,0.5538499584325995
38,HearingLate,Hearing,22,28,reversed,neck,0.520961442075671
39,HearingLate,Hearing,22,33,forward,neck,0.2250583903069725
39,HearingLate,Hearing,22,33,reversed,neck,0.5488616924966855
42,HearingNovice,Hearing,15,19,forward,neck,0.116710311160808
42,HearingNovice,Hearing,15,19,reversed,neck,0.338602964977018
43,HearingNovice,Hearing,16,21,forward,neck,0.0852107992258781
43,HearingNovice,Hearing,16,21,reversed,neck,0.0732110867834395
44,HearingNovice,Hearing,17,21,forward,neck,0.002606174721300695
44,HearingNovice,Hearing,17,21,reversed,neck,0.004374729875307215
45,HearingNovice,Hearing,17,18,forward,neck,0.3335103715974745
45,HearingNovice,Hearing,17,18,reversed,neck,0.4628884388201515
46,HearingNovice,Hearing,18,20,forward,neck,0.01209931854182195
46,HearingNovice,Hearing,18,20,reversed,neck,0.02998500749625185
47,HearingNovice,Hearing,18,20,forward,neck,0.08459627816745455
47,HearingNovice,Hearing,18,20,reversed,neck,0.23599341572427052
48,HearingNovice,Hearing,19,21,forward,neck,0.00510954310602865
48,HearingNovice,Hearing,19,21,reversed,neck,0.002225932109070675
49,HearingNovice,Hearing,20,22,forward,neck,0.007993607926795895
49,HearingNovice,Hearing,20,22,reversed,neck,0.27325409701821013
50,HearingNovice,Hearing,21,22,forward,neck,0.1811835360661
50,HearingNovice,Hearing,21,22,reversed,neck,0.20876914489894735
51,HearingNovice,Hearing,16,19,forward,neck,0.275904095904096
51,HearingNovice,Hearing,16,19,reversed,neck,0.504642912816883
52,HearingNovice,Hearing,17,19.75,forward,neck,0.11968842828273898
52,HearingNovice,Hearing,17,19.75,reversed,neck,0.46641709874576354
54,DeafLate,Deaf,18,39,forward,neck,0.01097437926600061
54,DeafLate,Deaf,18,39,reversed,neck,0.03584689702752815
55,DeafEarly,Deaf,1,43,forward,neck,0.0592430060340099
55,DeafEarly,Deaf,1,43,reversed,neck,0.0811099252934899
56,DeafLate,Deaf,8,26,forward,neck,0.0381975016899664
56,DeafLate,Deaf,8,26,reversed,neck,0.10265007293330491
57,DeafLate,Deaf,19,42,forward,neck,0.0225225506057309
57,DeafLate,Deaf,19,42,reversed,neck,0.12949548671601205
58,DeafEarly,Deaf,0,34,forward,neck,0.007586784044160995
58,DeafEarly,Deaf,0,34,reversed,neck,0.572466428649803
